motorType	outputSpeedRpm	ratio	outputTorqueNm	serviceFactor	overhungLoad	unitDesignation	baseUnitWeightKg	motorSize
7,5kW 	7,4	197,02	9440	1,55	98000	R1632200_M_-__7.5A--	680	132M
7,5kW 	6,3	228,84	10739	1,93	98000	R1642225_M_-__7.5A--	847	132M
7,5kW 	5,5	264,58	12416	1,67	98000	R1642250_M_-__7.5A--	847	132M
7,5kW 	5,1	285,8	13412	1,54	98000	R1642280_M_-__7.5A--	847	132M
7,5kW 	4,5	323,53	15182	1,36	98000	R1642300_M_-__7.5A--	847	132M
7,5kW 	4	360,14	16900	1,22	98000	R1642360_M_-__7.5A--	847	132M
7,5kW 	3,6	400,12	18776	1,1	98000	R1642400_M_-__7.5A--	847	132M
7,5kW 	3,3	445,37	20900	0,99	98000	R1642450_M_-__7.5A--	847	132M
7,5kW 	2,9	504,17	23659	0,87	98000	R1642500_M_-__7.5A--	847	132M
11,0kW	397	3,68	259	1,18	8065	R07223.6_M_-__11.A--	176	160M
11,0kW	287	5,09	359	1,18	7284	R07225.0_M_-__11.A--	176	160M
11,0kW	255	5,72	403	1,18	6900	R07225.6_M_-__11.A--	176	160M
11,0kW	232	6,29	444	1,18	6570	R07226.3_M_-__11.A--	176	160M
11,0kW	178	8,22	580	1,13	5350	R07228.0_M_-__11.A--	176	160M
11,0kW	156	9,34	659	1,05	5256	R07229.0_M_-__11.A--	176	160M
11,0kW	397	3,68	259	1,87	13605	R08223.6_M_-__11.A--	207	160M
11,0kW	280	5,21	367	1,87	13625	R08225.0_M_-__11.A--	207	160M
11,0kW	252	5,79	408	1,87	12212	R08225.6_M_-__11.A--	207	160M
11,0kW	227	6,44	454	1,87	11141	R08226.3_M_-__11.A--	207	160M
11,0kW	175	8,33	587	1,87	8529	R08228.0_M_-__11.A--	207	160M
11,0kW	156	9,35	659	1,85	6977	R08229.0_M_-__11.A--	207	160M
11,0kW	127	11,47	809	1,63	6964	R082211._M_-__11.A--	207	160M
11,0kW	113	12,92	911	1,48	7204	R082212._M_-__11.A--	207	160M
11,0kW	97	15,04	1061	1,34	7126	R082214._M_-__11.A--	207	160M
11,0kW	87	16,69	1177	1,22	7410	R082216._M_-__11.A--	207	160M
11,0kW	80	18,26	1288	1,06	8493	R082218._M_-__11.A--	207	160M
11,0kW	71	20,66	1457	1,01	8509	R082220._M_-__11.A--	207	160M
11,0kW	63	23,32	1644	0,94	8935	R082222._M_-__11.A--	207	160M
11,0kW	52	28,27	1993	0,8	9026	R082228._M_-__11.A--	207	160M
11,0kW	229	6,38	450	3,91	13594	R09226.3_M_-__11.A--	260	160M
11,0kW	178	8,22	580	3,31	13005	R09228.0_M_-__11.A--	260	160M
11,0kW	159	9,19	648	3,09	12905	R09229.0_M_-__11.A--	260	160M
11,0kW	127	11,47	809	2,66	12583	R092211._M_-__11.A--	260	160M
11,0kW	115	12,74	898	2,48	12489	R092212._M_-__11.A--	260	160M
11,0kW	100	14,53	1025	2,27	12369	R092214._M_-__11.A--	260	160M
11,0kW	89	16,34	1152	2,13	11843	R092216._M_-__11.A--	260	160M
11,0kW	79	18,5	1304	1,93	11934	R092218._M_-__11.A--	260	160M
11,0kW	71	20,59	1452	1,79	11835	R092220._M_-__11.A--	260	160M
11,0kW	64	22,87	1613	1,67	11954	R092222._M_-__11.A--	260	160M
11,0kW	52	27,98	1973	1,45	12713	R092228._M_-__11.A--	260	160M
11,0kW	45	32,31	2278	1,29	13884	R092232._M_-__11.A--	260	160M
11,0kW	41	35,67	2515	1,18	14971	R092236._M_-__11.A--	260	160M
11,0kW	34	43,35	3057	1	16802	R092245._M_-__11.A--	260	160M
11,0kW	30	49,07	3460	0,83	20075	R092250._M_-__11.A--	260	160M
11,0kW	91	15,98	1127	3,26	19927	R102216._M_-__11.A--	289	160M
11,0kW	82	17,75	1252	3,27	16631	R102218._M_-__11.A--	289	160M
11,0kW	75	19,41	1369	3,26	13551	R102220._M_-__11.A--	289	160M
11,0kW	68	21,57	1521	3,06	12891	R102222._M_-__11.A--	289	160M
11,0kW	57	25,49	1797	2,61	14561	R102228._M_-__11.A--	289	160M
11,0kW	47	30,76	2169	2,31	15018	R102232._M_-__11.A--	289	160M
11,0kW	41	35,44	2499	2	18132	R102236._M_-__11.A--	289	160M
11,0kW	36	41,12	2899	1,72	21342	R102245._M_-__11.A--	289	160M
11,0kW	30	47,93	3380	1,26	30000	R102250._M_-__11.A--	289	160M
11,0kW	28	51,49	3631	1,07	30000	R102256._M_-__11.A--	289	160M
11,0kW	25	57,63	4022	1,19	30000	R103256._M_-__11.A--	312	160M
11,0kW	22	65,24	4553	1,05	30000	R103263._M_-__11.A--	312	160M
11,0kW	20	72,62	5068	0,94	30000	R103271._M_-__11.A--	312	160M
11,0kW	18	80,68	5631	0,85	30000	R103280._M_-__11.A--	312	160M
11,0kW	44	33,25	2345	3,71	55000	R132232._M_-__11.A--	371	160M
11,0kW	39	37,03	2611	3,37	55000	R132236._M_-__11.A--	371	160M
11,0kW	34	43,25	3050	2,53	55000	R132245._M_-__11.A--	371	160M
11,0kW	29	50,7	3575	1,65	55000	R132250._M_-__11.A--	371	160M
11,0kW	27	53,94	3803	1,65	55000	R132256._M_-__11.A--	371	160M
11,0kW	31	46,79	3266	2,76	55000	R133245._M_-__11.A--	409	160M
11,0kW	28	52,97	3697	2,47	55000	R133250._M_-__11.A--	409	160M
11,0kW	24	59,76	4172	2,21	55000	R133256._M_-__11.A--	409	160M
11,0kW	22	66,4	4634	2,02	55000	R133263._M_-__11.A--	409	160M
11,0kW	20	72,6	5067	1,87	55000	R133271._M_-__11.A--	409	160M
11,0kW	18	80,68	5631	1,7	55000	R133280._M_-__11.A--	409	160M
11,0kW	15	95,34	6654	1,46	55000	R1332100_M_-__11.A--	409	160M
11,0kW	13	115,08	8032	1,21	55000	R1332112_M_-__11.A--	409	160M
11,0kW	11	132,56	9252	1,05	55000	R1332125_M_-__11.A--	409	160M
11,0kW	9,5	153,81	10735	0,9	55000	R1332160_M_-__11.A--	409	160M
11,0kW	29	50,36	3551	2,26	68000	R142250._M_-__11.A--	463	160M
11,0kW	26	56,49	3983	2,09	68000	R142256._M_-__11.A--	463	160M
11,0kW	30	48,24	3367	3,45	68000	R143245._M_-__11.A--	503	160M
11,0kW	27	54,61	3811	3,17	68000	R143250._M_-__11.A--	503	160M
11,0kW	24	61,61	4300	3,02	68000	R143256._M_-__11.A--	503	160M
11,0kW	21	68,46	4778	2,66	68000	R143263._M_-__11.A--	503	160M
11,0kW	20	74,85	5224	2,49	68000	R143271._M_-__11.A--	503	160M
11,0kW	18	83,17	5805	2,24	68000	R143280._M_-__11.A--	503	160M
11,0kW	15	98,3	6861	1,89	68000	R1432100_M_-__11.A--	503	160M
11,0kW	12	118,61	8278	1,57	68000	R1432112_M_-__11.A--	503	160M
11,0kW	20	74,49	5199	3,98	98000	R163271._M_-__11.A--	748	160M
11,0kW	18	82,13	5732	3,61	98000	R163280._M_-__11.A--	748	160M
11,0kW	15	98,51	6875	3,01	98000	R1632100_M_-__11.A--	748	160M
11,0kW	12	118,21	8250	2,51	98000	R1632112_M_-__11.A--	748	160M
11,0kW	11	128,08	8939	2,32	98000	R1632125_M_-__11.A--	748	160M
11,0kW	10	149,79	10454	1,98	98000	R1632160_M_-__11.A--	748	160M
11,0kW	8,3	175,64	12259	1,56	98000	R1632180_M_-__11.A--	748	160M
11,0kW	7,4	197,02	13751	1,06	98000	R1632200_M_-__11.A--	748	160M
11,0kW	6,4	228,84	15642	1,32	98000	R1642225_M_-__11.A--	913	160M
11,0kW	5,5	264,58	18085	1,14	98000	R1642250_M_-__11.A--	913	160M
11,0kW	5,1	285,8	19536	1,06	98000	R1642280_M_-__11.A--	913	160M
11,0kW	4,5	323,53	22115	0,94	98000	R1642300_M_-__11.A--	913	160M
11,0kW	4,1	360,14	24617	0,84	98000	R1642360_M_-__11.A--	913	160M
